978-0-201-88260-5,"Mojica","Jose"
978-0-201-88269-8,"Ehrenberg","Ronald G."
978-0-201-88284-1,"Lourekas","Peter"
978-0-201-88284-1,"Weinmann","Elaine"
978-0-201-88292-6,"Bittinger","Marvin L."
978-0-201-88295-7,"Thompson","Simon"
978-0-201-88298-8,"Fleishman","Glenn"
978-0-201-88298-8,"Carlson","Jeff"
978-0-201-88322-0,"Weiss","N.A."
978-0-201-88336-7,"Marlowe","Thomas"
978-0-201-88336-7,"Ryan","Charles T."
978-0-201-88336-7,"Washburn","Sherwood"
978-0-201-88456-2,"Odam","John"
978-0-201-88456-2,"Ashford","Janet"
978-0-201-88495-1,"Hanly","Jeri R."
978-0-201-88598-9,"Williams","Robin"
978-0-201-88632-0,"Hunt","Shane"
978-0-201-88632-0,"Steuer","Sharon"
978-0-201-88632-0,"Dayton","Linnea"
978-0-201-88660-3,"Kojima","Hisaka"
978-0-201-88666-5,"Broback","Steve"
978-0-201-88666-5,"Williams","Robin"
978-0-201-88678-8,"Merritt","Susan"
978-0-201-88678-8,"Davis","Jack"
978-0-201-88794-5,"Curie","Susan Quinn Marie"
978-0-201-88795-2,"Feldman","Michael B."
978-0-201-88954-3,"Stroustrup","Bjarne"
978-0-201-89278-9,"Fahlenbrach","Rudiger"
978-0-201-89278-9,"Cassano","Mark"
978-0-201-89502-5,"Bergin","Thomas J."
978-0-201-89502-5,"Gibson","Richard G."
978-0-201-89527-8,"Kerth","Norman L."
978-0-201-89527-8,"Coplien","James O."
978-0-201-89527-8,"Vlissides","John"
978-0-201-89529-2,"Ford","Claire Maria"
978-0-201-89535-3,"Simone","Susan Suchman"
978-0-201-89535-3,"Bellin","David"
978-0-201-89542-1,"Fowler","Martin"
978-0-201-89548-3,"Sobell","Mark G."
978-0-201-89549-0,"Sobell","Mark G."
978-0-201-89550-6,"Pohl","Ira"
978-0-201-89551-3,"Booch","Grady"
978-0-201-89551-3,"Maksimchuk","Robert A."
978-0-201-89551-3,"Engle","Michael W."
978-0-201-89551-3,"Young","Bobbi J."
978-0-201-89551-3,"Conallen","Jim"
978-0-201-89551-3,"Houston","Kelli A."
978-0-201-89552-0,"Liechti","Kenneth M."
978-0-201-89552-0,"Bedford","Anthony M."
978-0-201-89683-1,"Knuth","Donald E."
978-0-201-89684-8,"Knuth","Donald E."
978-0-201-89828-6,"Gordon","James"
978-0-201-89854-5,"Jensen","Linda"
978-0-201-89854-5,"Brinton","Donna"
978-0-201-89854-5,"Repath-Martos","Lyn"
978-0-201-89854-5,"Frodesen","Jan"
978-0-201-89854-5,"Holten","Christine"
978-0-201-89854-6,"Jensen","Linda"
978-0-201-89854-6,"Brinton","Donna"
978-0-201-89854-6,"Repath-Martos","Lyn"
978-0-201-89854-6,"Frodesen","Jan"
978-0-201-89854-6,"Holten","Christine"
978-0-201-91186-2,"Dyson","Michael Eric"
978-0-201-91465-8,"Warren","Henry S."
978-0-201-91466-5,"Krishnan","Sanjeev"
978-0-201-91466-5,"Matena","Vlada"
978-0-201-91466-5,"DeMichiel","Linda"
978-0-201-91466-5,"Stearns","Beth"
978-0-201-91467-2,"Walrath","Kathy"
978-0-201-91467-2,"Campione","Mary"
978-0-201-91467-2,"Huml","Alison"
978-0-201-91467-2,"Zakhour","Sharon Biocca"
978-0-201-91468-9,"Professional","AW"
978-0-201-91469-6,"","Glenview"
978-0-201-91604-1,"Smith","Douglas K."
978-0-201-92080-2,"Weissbourd","Richard"
978-0-201-92470-1,"Keller","G."
978-0-201-92470-1,"Teufel","T."
978-0-201-92476-3,"Griss","M."
978-0-201-92476-3,"Jacobson","Ivar"
978-0-201-92476-3,"Jonsson","P."
978-0-201-92478-7,"Lockwood","Lucy A.D."
978-0-201-92478-7,"Constantine","Larry L."
978-0-201-92480-0,"Smith","Richard E."
978-0-201-92488-6,"Meyers","Scott"
978-0-201-95959-8,"Bittinger","Marvin L."
978-0-201-95987-1,"Desmond","Adrian"
978-0-201-95991-8,"Fagan","Brian"
978-0-201-95993-2,"Branzei","Sylvia"
978-0-201-95994-9,"Branzei","Sylvia"
978-0-201-96281-9,"Zak","Diane"
978-0-201-96425-7,"Devlin","Barry"
978-0-201-96426-4,"Darwen","Hugh"
978-0-201-96426-4,"Date","C.J."
978-0-201-96810-1,"Zak","Diane"
978-0-201-97699-1,"Kurose","James"
978-0-201-97699-1,"Ross","Keith"
978-0-7637-3402-2,"Rogers","Donald"
978-0-201-70279-7,"Moore","Roger"
978-1-81012-835-8,"Lazenby","George"
978-1-872197-10-8,"Connery","Shaun"
978-0-201-39126-0,"Dalton","Timothy"
978-0-201-39519-3,"Craig","Daniel"
978-0-201-39331-6,"Brosnan","Pierce"
978-0-201-42271-9,"MacQueen","Steve"
